Channel,NaN_Count,Inf_Count,Flatline_Samples,Outlier_Count,Total_Samples,Flatline_%,Outlier_%
Anterior Deltoid,0,0,4,85232,36496521,0.0000,0.2335
Lateral Deltoid,0,0,7,84487,36496521,0.0000,0.2315
Posterior Deltoid,0,0,5,110942,36496521,0.0000,0.3040
Biceps Brachii,0,0,7,131226,36496521,0.0000,0.3596
Triceps Brachii,0,0,2,75090,36496521,0.0000,0.2057
Brachioradialis,0,0,2,130221,36496521,0.0000,0.3568
Flexor Carpi Ulnaris (FCU),0,0,2,74760,36496521,0.0000,0.2048
Extensor Carpi Radialis (ECR),0,0,5,130927,36496521,0.0000,0.3587
ax1,0,0,2612,36095,36496521,0.0072,0.0989
ay1,0,0,383,1064,36496521,0.0010,0.0029
az1,0,0,666,3296,36496521,0.0018,0.0090
roll_rad1,0,0,17082,4929,36496521,0.0468,0.0135
pitch_rad1,0,0,2718,0,36496521,0.0074,0.0000
yaw_rad1,0,0,5073,0,36496521,0.0139,0.0000
ax2,0,0,393395,17584,36496521,1.0779,0.0482
ay2,0,0,392417,788,36496521,1.0752,0.0022
az2,0,0,393063,2674,36496521,1.0770,0.0073
roll_rad2,0,0,408833,23226,36496521,1.1202,0.0636
pitch_rad2,0,0,402737,0,36496521,1.1035,0.0000
yaw_rad2,0,0,404754,0,36496521,1.1090,0.0000
ax_diff,0,0,509,75516,36496521,0.0014,0.2069
ay_diff,0,0,290,1515,36496521,0.0008,0.0042
az_diff,0,0,348,1774,36496521,0.0010,0.0049
roll_rad_diff,0,0,3108,17150,36496521,0.0085,0.0470
pitch_rad_diff,0,0,1870,0,36496521,0.0051,0.0000
yaw_rad_diff,0,0,4906,0,36496521,0.0134,0.0000
