,Anterior Deltoid,Lateral Deltoid,Posterior Deltoid,Triceps Brachii,Biceps Brachii,Brachioradialis,Flexor Carpi Ulnaris (FCU),Extensor Carpi Radialis (ECR),ax1,ay1,az1,roll_rad1,pitch_rad1,yaw_rad1,ax2,ay2,az2,roll_rad2,pitch_rad2,yaw_rad2,ax_diff,ay_diff,az_diff,roll_rad_diff,pitch_rad_diff,yaw_rad_diff
Anterior Deltoid,1.0000,0.7567,0.2701,0.4445,0.0254,0.3990,0.2944,0.2949,0.3027,0.3242,-0.1760,0.1123,0.3737,0.0738,0.1410,0.1543,0.0969,-0.2118,0.1450,0.0743,-0.0076,-0.1264,0.1790,-0.2352,-0.1732,-0.0250
Lateral Deltoid,0.7567,1.0000,0.5237,0.4455,0.2501,0.4270,0.3457,0.3208,0.2365,0.1709,-0.0206,-0.0656,0.2733,0.0200,-0.0001,0.0395,0.1109,-0.1183,0.0276,0.0422,-0.1656,-0.0953,0.0828,-0.0415,-0.1720,0.0084
Posterior Deltoid,0.2701,0.5237,1.0000,0.4206,0.6771,0.4016,0.4136,0.4670,-0.0616,-0.3723,0.1820,-0.2503,-0.3196,0.0823,-0.1587,0.1146,-0.0377,0.1143,0.1518,-0.0191,-0.1867,0.3451,-0.1463,0.2598,0.3073,-0.0981
Triceps Brachii,0.4445,0.4455,0.4206,1.0000,0.3242,0.6297,0.4561,0.6191,-0.0436,-0.0910,-0.0469,0.0073,-0.0337,0.0768,-0.0599,0.2549,-0.0783,0.0589,0.2414,0.0151,-0.0563,0.2398,-0.0169,0.0385,0.1624,-0.0688
Biceps Brachii,0.0254,0.2501,0.6771,0.3242,1.0000,0.3397,0.3801,0.4531,-0.1883,-0.4932,0.3550,-0.3847,-0.4693,0.0192,-0.1950,0.0717,-0.1347,0.2086,0.0959,-0.0624,-0.1507,0.4023,-0.3234,0.4235,0.3780,-0.0628
Brachioradialis,0.3990,0.4270,0.4016,0.6297,0.3397,1.0000,0.5087,0.6705,-0.0520,-0.1033,0.0548,-0.0566,-0.0561,0.0434,-0.0365,0.0582,-0.0346,0.0429,0.0559,-0.0478,-0.0165,0.1138,-0.0585,0.0714,0.0708,-0.0777
Flexor Carpi Ulnaris (FCU),0.2944,0.3457,0.4136,0.4561,0.3801,0.5087,1.0000,0.5205,-0.1385,-0.1765,-0.0969,0.1210,-0.0849,0.1465,-0.2028,0.0604,0.0594,0.1442,0.0429,-0.0209,-0.1969,0.1678,0.1023,0.0219,0.0831,-0.1656
Extensor Carpi Radialis (ECR),0.2949,0.3208,0.4670,0.6191,0.4531,0.6705,0.5205,1.0000,-0.1510,-0.3030,0.0557,-0.0611,-0.2532,0.0835,-0.1474,0.1687,-0.0726,0.1512,0.1405,-0.0195,-0.1080,0.3326,-0.0827,0.1546,0.2551,-0.0996
ax1,0.3027,0.2365,-0.0616,-0.0436,-0.1883,-0.0520,-0.1385,-0.1510,1.0000,0.5951,0.0250,-0.1753,0.2943,0.0014,0.7836,0.1784,-0.0743,-0.4863,0.1259,0.1430,0.4356,-0.3039,-0.0630,-0.2369,-0.1297,0.0970
ay1,0.3242,0.1709,-0.3723,-0.0910,-0.4932,-0.1033,-0.1765,-0.3030,0.5951,1.0000,-0.1823,0.1056,0.7971,-0.1232,0.5591,-0.0181,0.1149,-0.4989,-0.0889,0.1705,0.3937,-0.7285,0.1944,-0.4428,-0.5992,0.2446
az1,-0.1760,-0.0206,0.1820,-0.0469,0.3550,0.0548,-0.0969,0.0557,0.0250,-0.1823,1.0000,-0.8756,-0.2454,-0.5215,-0.0034,-0.2913,-0.1890,0.0941,-0.2977,-0.0390,-0.0224,-0.0691,-0.7927,0.6825,-0.0030,0.5113
roll_rad1,0.1123,-0.0656,-0.2503,0.0073,-0.3847,-0.0566,0.1210,-0.0611,-0.1753,0.1056,-0.8756,1.0000,0.1868,0.5355,-0.1035,0.2228,0.2725,0.0355,0.2560,0.0242,-0.0273,0.0771,0.7605,-0.6738,0.0193,-0.5360
pitch_rad1,0.3737,0.2733,-0.3196,-0.0337,-0.4693,-0.0561,-0.0849,-0.2532,0.2943,0.7971,-0.2454,0.1868,1.0000,-0.1449,0.1289,-0.2327,0.2359,-0.4452,-0.2455,0.1069,-0.0191,-0.7302,0.3122,-0.4599,-0.8291,0.2231
yaw_rad1,0.0738,0.0200,0.0823,0.0768,0.0192,0.0434,0.1465,0.0835,0.0014,-0.1232,-0.5215,0.5355,-0.1449,1.0000,0.0288,0.3816,0.2062,-0.0593,0.3232,0.3794,0.0407,0.3497,0.4802,-0.4187,0.2860,-0.7706
ax2,0.1410,-0.0001,-0.1587,-0.0599,-0.1950,-0.0365,-0.2028,-0.1474,0.7836,0.5591,-0.0034,-0.1035,0.1289,0.0288,1.0000,0.3134,-0.1594,-0.5828,0.3643,0.0936,0.9006,-0.1856,-0.0967,-0.3585,0.1215,0.0348
ay2,0.1543,0.0395,0.1146,0.2549,0.0717,0.0582,0.0604,0.1687,0.1784,-0.0181,-0.2913,0.2228,-0.2327,0.3816,0.3134,1.0000,-0.2756,-0.0365,0.7540,0.1213,0.3293,0.6982,0.0257,-0.1830,0.5949,-0.3103
