component,eigenvalue,explained_variance,cumulative_explained_variance
1,5.812750,0.223567,0.223567
2,4.792367,0.184322,0.407889
3,3.648502,0.140327,0.548216
4,3.555957,0.136768,0.684984
5,1.305233,0.050201,0.735185
6,1.269948,0.048844,0.784029
7,1.010989,0.038884,0.822913
8,0.690629,0.026563,0.849476
9,0.658828,0.025340,0.874815
10,0.579339,0.022282,0.897098
11,0.455962,0.017537,0.914635
12,0.406759,0.015645,0.930279
13,0.368633,0.014178,0.944457
14,0.323502,0.012442,0.956900
15,0.285232,0.010970,0.967870
16,0.242292,0.009319,0.977189
17,0.218972,0.008422,0.985611
18,0.166379,0.006399,0.992010
19,0.126654,0.004871,0.996882
20,0.081074,0.003118,1.000000
21,0.000000,0.000000,1.000000
22,0.000000,0.000000,1.000000
23,0.000000,0.000000,1.000000
24,0.000000,0.000000,1.000000
25,0.000000,0.000000,1.000000
26,0.000000,0.000000,1.000000
