,Anterior Deltoid,Lateral Deltoid,Posterior Deltoid,Triceps Brachii,Biceps Brachii,Brachioradialis,Flexor Carpi Ulnaris (FCU),Extensor Carpi Radialis (ECR),ax1,ay1,az1,roll_rad1,pitch_rad1,yaw_rad1,ax2,ay2,az2,roll_rad2,pitch_rad2,yaw_rad2,ax_diff,ay_diff,az_diff,roll_rad_diff,pitch_rad_diff,yaw_rad_diff
Anterior Deltoid,1.0000,0.7630,0.3529,0.4544,-0.0469,0.3760,0.2925,0.3215,0.2713,0.3602,-0.2438,0.1882,0.5001,0.1330,0.1119,0.2556,0.0736,-0.1700,0.2664,0.0581,-0.0234,-0.0181,0.2087,-0.2474,-0.1177,-0.1020
Lateral Deltoid,0.7630,1.0000,0.5923,0.4218,0.1573,0.3871,0.3094,0.3025,0.2200,0.2296,-0.0830,0.0101,0.4345,0.0367,-0.0099,0.0900,0.0812,-0.0803,0.0825,0.0177,-0.1644,-0.0925,0.1037,-0.0624,-0.2416,-0.0270
Posterior Deltoid,0.3529,0.5923,1.0000,0.4069,0.4053,0.4360,0.2794,0.3716,-0.0228,-0.1121,0.1723,-0.2296,0.0287,-0.1305,-0.1265,-0.0854,-0.0275,0.0638,-0.0775,-0.0208,-0.1672,-0.0009,-0.1332,0.2026,-0.0937,0.1253
Triceps Brachii,0.4544,0.4218,0.4069,1.0000,0.1822,0.6108,0.3898,0.6389,-0.0377,0.0078,-0.0866,0.0571,0.1014,0.0545,-0.0392,0.2565,-0.0818,0.0413,0.2515,0.0533,-0.0310,0.2787,0.0114,-0.0109,0.1611,-0.0212
Biceps Brachii,-0.0469,0.1573,0.4053,0.1822,1.0000,0.3128,0.1894,0.2819,-0.1734,-0.2645,0.4507,-0.4638,-0.2233,-0.2402,-0.1575,-0.2437,-0.1263,0.1387,-0.2606,-0.0290,-0.1094,-0.0490,-0.3800,0.4162,-0.0801,0.2369
Brachioradialis,0.3760,0.3871,0.4360,0.6108,0.3128,1.0000,0.4273,0.6725,-0.0794,-0.1358,0.0536,-0.0494,-0.0792,0.0560,-0.0277,0.0789,-0.0558,0.0398,0.0933,-0.0441,0.0142,0.2017,-0.0689,0.0616,0.1455,-0.0905
Flexor Carpi Ulnaris (FCU),0.2925,0.3094,0.2794,0.3898,0.1894,0.4273,1.0000,0.3819,-0.1507,-0.0318,-0.1621,0.2086,0.1603,0.1437,-0.2171,0.0034,0.0976,0.1191,-0.0190,0.0234,-0.2110,0.0304,0.1670,-0.0618,-0.1355,-0.1375
Extensor Carpi Radialis (ECR),0.3215,0.3025,0.3716,0.6389,0.2819,0.6725,0.3819,1.0000,-0.1402,-0.1654,0.0545,-0.0601,-0.0749,0.0128,-0.1217,0.1117,-0.0637,0.0803,0.0661,0.0473,-0.0803,0.2630,-0.0740,0.0970,0.1168,0.0192
ax1,0.2713,0.2200,-0.0228,-0.0377,-0.1734,-0.0794,-0.1507,-0.1402,1.0000,0.6745,-0.0337,-0.1232,0.2372,0.0623,0.7881,0.3259,-0.1235,-0.4388,0.2991,0.0724,0.4566,-0.2036,-0.0488,-0.2179,0.1060,-0.0163
ay1,0.3602,0.2296,-0.1121,0.0078,-0.2645,-0.1358,-0.0318,-0.1654,0.6745,1.0000,-0.3315,0.2163,0.5258,0.1873,0.6583,0.5041,-0.0021,-0.4137,0.4692,0.1085,0.4912,-0.2786,0.2243,-0.4351,0.0535,-0.1250
