component,eigenvalue,explained_variance,cumulative_explained_variance
1,6.302335,0.242397,0.242397
2,4.105313,0.157897,0.400294
3,3.856948,0.148344,0.548638
4,2.756887,0.106034,0.654672
5,1.501018,0.057731,0.712404
6,1.226794,0.047184,0.759588
7,0.853027,0.032809,0.792397
8,0.827356,0.031821,0.824218
9,0.775897,0.029842,0.854060
10,0.674172,0.025930,0.879990
11,0.607843,0.023379,0.903369
12,0.496207,0.019085,0.922454
13,0.410193,0.015777,0.938230
14,0.334740,0.012875,0.951105
15,0.300028,0.011540,0.962644
16,0.290430,0.011170,0.973815
17,0.264937,0.010190,0.984005
18,0.165011,0.006347,0.990351
19,0.141232,0.005432,0.995783
20,0.109638,0.004217,1.000000
21,0.000000,0.000000,1.000000
22,0.000000,0.000000,1.000000
23,0.000000,0.000000,1.000000
24,0.000000,0.000000,1.000000
25,0.000000,0.000000,1.000000
26,0.000000,0.000000,1.000000
