ID,Gender,Age,Handedness,TotalArm,UpperArm,Forearm,Hand,UpperArmCirc,ForearmCirc
P01,Male,25,Right,82,38,33,20,32,28
P02,Male,23,Right,78,35,26,22,26,25
P03,Male,25,Left,78,36,27,19,31,28
P04,Male,22,Right,77,32,26,22,28,28
P05,Female,24,Right,77,34,27,18,25,23
P06,Male,23,Right,82,37,29,22,30,27
P07,Male,24,Right,78,36,29,18,33,28
P08,Male,22,Right,75,34,27,20,27,27
P09,Female,22,Right,71,32,23,18,25,23
P10,Male,22,Right,78,32,29,22,33,30
P11,Male,26,Right,84,27,29,24,32,32
P12,Male,24,Right,89,41,29,20,28,26
P13,Female,59,Right,69,33,26,20,22,22
P14,Male,27,Right,81,38,27,20,30,28
P15,Female,25,Right,61,22,23,16,26,24
P16,Female,25,Right,75,31,25,19,22,22
P17,Male,26,Right,82,33,29,21,30,27
P18,Female,24,Left,72,30,25,19,27,26
