Feature_Type,Selected,Rank
EMG_WL,True,1
IMU_Kurt,True,1
IMU_Min,True,1
EMG_VAR,True,1
IMU_Max,True,1
EMG_SSC,True,1
EMG_Power,True,1
IMU_SMA,True,1
EMG_Skew,True,1
IMU_Mean,True,1
EMG_MAV,True,1
EMG_Kurt,True,1
EMG_IEMG,True,1
IMU_Var,False,2
IMU_SpecEnergy,False,3
IMU_MDF,False,4
EMG_WAMP,False,5
EMG_SpecEntropy,False,6
EMG_MNF,False,7
IMU_SpecEntropy,False,8
IMU_MNF,False,9
IMU_Jerk,False,10
EMG_HjComp,False,11
EMG_ZC,False,12
IMU_DomFreq,False,13
IMU_Skew,False,14
EMG_BW,False,15
IMU_P2P,False,16
IMU_IQR,False,17
EMG_HjMob,False,18
EMG_Myopulse,False,19
IMU_ZC,False,20
EMG_MDF,False,21
EMG_PeakFreq,False,22
