=======================================================
MODEL PERFORMANCE REPORT
Run Timestamp: 20260419_165127
=======================================================

--- DATASET INFO ---
Participants included: all
Database segments used: ['participant_P02_session_01_segments.h5', 'participant_P13_session_01_segments.h5', 'participant_P11_session_01_segments.h5', 'participant_P07_session_01_segments.h5', 'participant_P01_session_03_segments.h5', 'participant_P09_session_01_segments.h5', 'participant_P15_session_01_segments.h5', 'participant_P08_session_01_segments.h5', 'participant_P06_session_01_segments.h5', 'participant_P16_session_01_segments.h5', 'participant_P10_session_01_segments.h5', 'participant_P12_session_01_segments.h5', 'participant_P14_session_01_segments.h5', 'participant_P01_session_02_segments.h5', 'participant_P03_session_01_segments.h5', 'participant_P05_session_01_segments.h5', 'participant_P04_session_01_segments.h5', 'participant_P01_session_01_segments.h5']
Total samples: 16820
Evaluation Mode: Leave-One-Participant-Out CV (8 Participants)
Final Model Training samples: 14297

--- BALANCE WEIGHTS ---
Sample weighting: enabled (class_weight='balanced')
Weight       | Count (Train)  | Multiplier
-------------------------------------------
0.00 kg      | 8423           | 0.2496    
0.90 kg      | 1198           | 1.7550    
0.98 kg      | 1201           | 1.7506    
1.97 kg      | 1199           | 1.7535    
2.24 kg      | 1202           | 1.7492    
2.94 kg      | 1203           | 1.7477    
4.14 kg      | 1190           | 1.7668    
5.92 kg      | 1204           | 1.7463    

--- FEATURE CONFIGURATION ---
Ablation Modality: ALL
Input: Raw EMG + IMU segments (end-to-end CNN)
Enabled EMG Channels (8): Anterior Deltoid, Lateral Deltoid, Posterior Deltoid, Triceps Brachii, Biceps Brachii, Brachioradialis, Flexor Carpi Ulnaris (FCU), Extensor Carpi Radialis (ECR)
Enabled IMU Channels (18): ax1, ay1, az1, roll_rad1, pitch_rad1, yaw_rad1, ax2, ay2, az2, roll_rad2, pitch_rad2, yaw_rad2, ax_diff, ay_diff, az_diff, roll_rad_diff, pitch_rad_diff, yaw_rad_diff

--- HYPERPARAMETERS ---
Model: CNN_LSTM
Learning Rate: 0.001
Batch Size: 64
Epochs: 400

--- EVALUATION METRICS ---
(Averaged over 8 folds)
MAE: 0.4265 (±0.1022)
MSE: 0.6013 (±0.2212)
RMSE: 0.7627 (±0.1401)
R2: 0.8150 (±0.0684)

--- PER-WEIGHT METRICS ---
Weight       | Count    | MAE        | RMSE      
--------------------------------------------------
0.00 kg      | 8423     | 0.1456     | 0.3464    
0.90 kg      | 1198     | 0.2521     | 0.4660    
0.98 kg      | 1201     | 0.2929     | 0.5367    
1.97 kg      | 1199     | 0.6965     | 0.8620    
2.24 kg      | 1202     | 0.6571     | 0.8741    
2.94 kg      | 1203     | 0.9248     | 1.1252    
4.14 kg      | 1190     | 1.0634     | 1.2865    
5.92 kg      | 1204     | 1.3314     | 1.7695    

--- PER-PARTICIPANT METRICS ---
Participant  | Samples  | MAE        | RMSE      
--------------------------------------------------
P01          | 4429     | 0.4916     | 0.8381    
P02          | 1428     | 0.3750     | 0.6993    
P10          | 497      | 0.3985     | 0.7279    
P06          | 992      | 0.6856     | 1.0395    
P11          | 998      | 0.3437     | 0.5622    
P09          | 998      | 0.2490     | 0.5127    
P14          | 499      | 0.3185     | 0.6778    
P03          | 998      | 0.4624     | 0.7252    
P05          | 499      | 0.2989     | 0.5970    
P04          | 998      | 0.4151     | 0.7336    
P13          | 498      | 0.7074     | 1.1785    
P16          | 496      | 0.2874     | 0.6001    
P12          | 998      | 0.2207     | 0.4590    
P15          | 498      | 0.4477     | 0.8093    
P07          | 997      | 0.5887     | 0.9916    
P08          | 997      | 0.5963     | 1.0550    

--- PER-SEGMENT-DURATION METRICS (CNN-LSTM) ---
(Prediction error vs. elapsed time into lift, binned from raw segment duration)
Bin    | Time into lift (mid)   | Count    | MAE        | RMSE      
--------------------------------------------------------------------
1      | 0.082s                 | 4        | 0.6789     | 0.7049    
2      | 0.224s                 | 2        | 0.4218     | 0.5135    
3      | 0.367s                 | 28       | 1.1178     | 1.4356    
4      | 0.509s                 | 274      | 0.8349     | 1.2179    
5      | 0.651s                 | 845      | 0.7088     | 1.0396    
6      | 0.794s                 | 1627     | 0.6480     | 1.0071    
7      | 0.936s                 | 2057     | 0.5142     | 0.8638    
8      | 1.079s                 | 2542     | 0.4226     | 0.7699    
9      | 1.221s                 | 2585     | 0.3939     | 0.7269    
10     | 1.363s                 | 2091     | 0.3238     | 0.6146    
11     | 1.506s                 | 1360     | 0.3318     | 0.6269    
12     | 1.648s                 | 927      | 0.3170     | 0.6176    
13     | 1.791s                 | 653      | 0.3355     | 0.6752    
14     | 1.933s                 | 387      | 0.3335     | 0.6571    
15     | 2.075s                 | 309      | 0.3841     | 0.7692    
16     | 2.218s                 | 199      | 0.3725     | 0.7404    
17     | 2.360s                 | 161      | 0.3796     | 0.8194    
18     | 2.503s                 | 118      | 0.4114     | 0.7704    
19     | 2.645s                 | 86       | 0.4684     | 0.8596    
20     | 2.788s                 | 93       | 0.6097     | 1.0667    
21     | 2.930s                 | 77       | 0.4419     | 0.7745    
22     | 3.072s                 | 61       | 0.4601     | 0.8485    
23     | 3.215s                 | 45       | 0.6381     | 1.2246    
24     | 3.357s                 | 40       | 0.4090     | 0.7487    
25     | 3.500s                 | 29       | 0.5923     | 0.9658    
26     | 3.642s                 | 28       | 0.6564     | 1.0675    
27     | 3.784s                 | 26       | 0.3323     | 0.6636    
28     | 3.927s                 | 20       | 0.4286     | 0.7482    
29     | 4.069s                 | 13       | 0.3883     | 0.8559    
30     | 4.212s                 | 15       | 0.3266     | 0.5588    
31     | 4.354s                 | 9        | 0.4791     | 0.7218    
32     | 4.496s                 | 9        | 0.4759     | 0.7641    
33     | 4.639s                 | 5        | 0.3410     | 0.6226    
34     | 4.781s                 | 8        | 0.5695     | 1.0231    
35     | 4.924s                 | 4        | 0.1954     | 0.3515    
36     | 5.066s                 | 8        | 0.3146     | 0.4669    
37     | 5.209s                 | 3        | 0.5230     | 0.8326    
38     | 5.351s                 | 4        | 1.1731     | 1.4104    
39     | 5.493s                 | 5        | 1.2068     | 2.4357    
40     | 5.636s                 | 6        | 0.7561     | 1.3999    
41     | 5.778s                 | 4        | 0.9753     | 1.5218    
42     | 5.921s                 | 5        | 0.5037     | 1.0561    
43     | 6.063s                 | 5        | 0.8613     | 1.2319    
44     | 6.205s                 | 1        | 2.1277     | 2.1277    
45     | 6.348s                 | 4        | 1.6131     | 2.8568    
46     | 6.490s                 | 5        | 1.1152     | 1.8531    
47     | 6.633s                 | 1        | 0.3337     | 0.3337    
49     | 6.917s                 | 4        | 1.8675     | 2.6333    
50     | 7.060s                 | 1        | 0.0525     | 0.0525    
51     | 7.202s                 | 1        | 0.0063     | 0.0063    
52     | 7.345s                 | 1        | 0.0331     | 0.0331    
54     | 7.630s                 | 1        | 0.1911     | 0.1911    
58     | 8.199s                 | 1        | 1.1198     | 1.1198    
61     | 8.626s                 | 1        | 0.0025     | 0.0025    
62     | 8.769s                 | 1        | 0.0162     | 0.0162    
67     | 9.481s                 | 1        | 0.2131     | 0.2131    
70     | 9.908s                 | 2        | 0.7422     | 1.0479    
74     | 10.478s                | 2        | 0.2292     | 0.2814    
81     | 11.475s                | 1        | 0.7005     | 0.7005    
89     | 12.614s                | 1        | 0.4331     | 0.4331    
95     | 13.468s                | 1        | 0.0576     | 0.0576    
105    | 14.893s                | 1        | 0.1238     | 0.1238    
110    | 15.605s                | 1        | 0.0000     | 0.0000    
121    | 17.171s                | 1        | 0.0460     | 0.0460    
122    | 17.314s                | 1        | 0.0200     | 0.0200    
147    | 20.874s                | 1        | 0.1083     | 0.1083    
203    | 28.849s                | 1        | 0.1869     | 0.1869    
219    | 31.128s                | 1        | 1.8599     | 1.8599    
264    | 37.536s                | 1        | 0.0040     | 0.0040    
292    | 41.524s                | 1        | 1.9465     | 1.9465    
314    | 44.657s                | 1        | 1.5049     | 1.5049    
315    | 44.799s                | 1        | 0.7409     | 0.7409    
477    | 67.870s                | 1        | 0.1154     | 0.1154    
500    | 71.145s                | 1        | 0.1019     | 0.1019    

--- COMPUTE & TIMING METRICS ---
Device: CUDA (NVIDIA A100 80GB PCIe) on x86_64 (x86_64)
Total Parameters: 2,023,745
Trainable Parameters: 2,023,745

Average timings:
train_time: 5760.934999s (±1019.739159s)
inference_time_total: 2.016286s (±0.541372s)
inference_time_per_sample: 0.001023s (±0.000263s)

--- PERMUTATION CHANNEL IMPORTANCE ---
(Drop in MSE when feature is shuffled. Higher is more important)
$a_2$: 0.146273
$a_1$: 0.119335
Extensor Carpi Radialis (ECR): 0.098184
Brachioradialis: 0.074407
$a_{diff}$: 0.065308
Biceps Brachii: 0.025185
$\alpha_{diff}$: 0.022483
Posterior Deltoid: 0.015953
$\alpha_2$: 0.012173
Lateral Deltoid: 0.000428
Anterior Deltoid: -0.000573
Triceps Brachii: -0.001517
$\alpha_1$: -0.003575
Flexor Carpi Ulnaris (FCU): -0.023507
