=======================================================
MODEL PERFORMANCE REPORT
Run Timestamp: 20260502_071911
=======================================================

--- DATASET INFO ---
Participants included: all
Database segments used: ['participant_P02_session_01_segments.h5', 'participant_P13_session_01_segments.h5', 'participant_P11_session_01_segments.h5', 'participant_P07_session_01_segments.h5', 'participant_P01_session_03_segments.h5', 'participant_P09_session_01_segments.h5', 'participant_P15_session_01_segments.h5', 'participant_P08_session_01_segments.h5', 'participant_P17_session_01_segments.h5', 'participant_P06_session_01_segments.h5', 'participant_P16_session_01_segments.h5', 'participant_P10_session_01_segments.h5', 'participant_P12_session_01_segments.h5', 'participant_P14_session_01_segments.h5', 'participant_P01_session_02_segments.h5', 'participant_P03_session_01_segments.h5', 'participant_P05_session_01_segments.h5', 'participant_P18_session_01_segments.h5', 'participant_P04_session_01_segments.h5', 'participant_P01_session_01_segments.h5']
Total samples: 19310
Evaluation Mode: Leave-One-Participant-Out CV (9 Participants)
Final Model Training samples: 17815

--- FEATURE CONFIGURATION ---
Ablation Modality: ALL
EMG Window: 0.15s, IMU Window: 0.2s, Step: 0.1s

--- HYPERPARAMETERS ---
Model: SPATIO_TEMPORAL_TRANSFORMER

--- EVALUATION METRICS ---
(Averaged over 9 folds)
MAE: 0.6631 (±0.3017)
MSE: 1.1535 (±0.7609)
RMSE: 1.0355 (±0.2849)
R2: 0.6453 (±0.2341)
Train MAE: 0.6630 (±0.3058)
Train RMSE: 1.0188 (±0.2856)
Generalization Gap (MAE): 0.0001 (±0.0659)
Overfit Ratio (RMSE): 1.0232 (±0.1178)

--- PER-WEIGHT METRICS ---
Weight       | Count    | MAE        | RMSE      
--------------------------------------------------
0.00 kg      | 9669     | 0.2615     | 0.5926    
0.90 kg      | 1375     | 0.7492     | 0.8643    
0.98 kg      | 1378     | 0.7820     | 0.9615    
1.97 kg      | 1379     | 1.0498     | 1.3167    
2.24 kg      | 1378     | 0.9919     | 1.2399    
2.94 kg      | 1381     | 1.1717     | 1.4725    
4.14 kg      | 1367     | 1.4800     | 1.7128    
5.92 kg      | 1383     | 1.0242     | 1.8186    

--- DETAILED GENERALIZATION PERFORMANCE ---
Mean MAE across participants: 0.6822 ± 0.3188
Min / Max MAE:                0.4080 / 1.4956
Mean RMSE across participants:1.0516 ± 0.3363
Min / Max RMSE:               0.7037 / 1.8059

--- PER-PARTICIPANT METRICS ---
Participant  | Samples  | MAE        | RMSE      
--------------------------------------------------
P01          | 4429     | 0.5125     | 0.9430    
P02          | 1428     | 1.4950     | 1.8025    
P10          | 497      | 1.4956     | 1.8059    
P03          | 998      | 0.4582     | 0.8036    
P18          | 499      | 0.5866     | 1.0863    
P04          | 998      | 0.5672     | 0.9570    
P05          | 499      | 0.5700     | 0.9109    
P11          | 998      | 0.4735     | 0.8235    
P13          | 497      | 0.9982     | 1.6138    
P14          | 498      | 0.6249     | 1.1022    
P09          | 997      | 0.8201     | 1.1882    
P17          | 997      | 0.4829     | 0.7206    
P07          | 997      | 0.5621     | 0.9519    
P08          | 997      | 0.4692     | 0.8239    
P15          | 997      | 0.7080     | 1.0626    
P16          | 995      | 0.5554     | 0.7629    
P06          | 992      | 0.4917     | 0.8658    
P12          | 997      | 0.4080     | 0.7037    

--- PER-SEQUENCE-LENGTH METRICS ---
1            | 0.200s           | 2        | 1.2926     | 1.8280    
2            | 0.300s           | 22       | 1.1795     | 1.8390    
3            | 0.400s           | 89       | 1.2021     | 1.7097    
4            | 0.500s           | 305      | 1.0737     | 1.4299    
5            | 0.600s           | 694      | 0.9061     | 1.2560    
6            | 0.700s           | 955      | 0.8120     | 1.1586    
7            | 0.800s           | 1535     | 0.7614     | 1.1113    
8            | 0.900s           | 1688     | 0.7361     | 1.1423    
9            | 1.000s           | 1921     | 0.6383     | 1.0515    
10           | 1.100s           | 2167     | 0.6183     | 1.0346    
11           | 1.200s           | 1945     | 0.6046     | 0.9947    
12           | 1.300s           | 1693     | 0.5612     | 0.9685    
13           | 1.400s           | 1334     | 0.6142     | 1.0394    
14           | 1.500s           | 974      | 0.5556     | 1.0008    
15           | 1.600s           | 810      | 0.5198     | 0.9383    
16           | 1.700s           | 589      | 0.5494     | 1.0203    
17           | 1.800s           | 451      | 0.4729     | 0.9158    
18           | 1.900s           | 353      | 0.4536     | 0.8739    
19           | 2.000s           | 263      | 0.5284     | 0.9185    
20           | 2.100s           | 227      | 0.5009     | 0.9122    
21           | 2.200s           | 179      | 0.6844     | 1.2228    
22           | 2.300s           | 145      | 0.5235     | 1.0249    
23           | 2.400s           | 110      | 0.4783     | 0.8853    
24           | 2.500s           | 97       | 0.6679     | 1.2367    
25           | 2.600s           | 76       | 0.4928     | 0.7929    
26           | 2.700s           | 73       | 0.7128     | 1.1920    
27           | 2.800s           | 75       | 0.8177     | 1.3568    
28           | 2.900s           | 62       | 0.5731     | 1.0653    
29           | 3.000s           | 55       | 0.6952     | 1.1176    
30           | 3.100s           | 39       | 0.5710     | 0.9636    
31           | 3.200s           | 40       | 0.9976     | 1.5368    
32           | 3.300s           | 32       | 0.5924     | 0.9482    
33           | 3.400s           | 22       | 0.7425     | 1.2532    
34           | 3.500s           | 19       | 0.3413     | 0.5771    
35           | 3.600s           | 22       | 0.4381     | 0.7297    
36           | 3.700s           | 25       | 0.4395     | 0.7154    
37           | 3.800s           | 29       | 0.6188     | 1.1434    
38           | 3.900s           | 9        | 0.1414     | 0.3686    
39           | 4.000s           | 17       | 0.6028     | 0.9666    
40           | 4.100s           | 13       | 0.6459     | 0.9915    
41           | 4.200s           | 7        | 0.7181     | 1.1944    
42           | 4.300s           | 8        | 0.6141     | 0.8567    
43           | 4.400s           | 6        | 0.4645     | 1.0800    
44           | 4.500s           | 11       | 0.3613     | 0.8218    
45           | 4.600s           | 2        | 0.4743     | 0.6708    
46           | 4.700s           | 6        | 0.1409     | 0.2445    
47           | 4.800s           | 6        | 1.1393     | 1.4183    
48           | 4.900s           | 3        | 0.1361     | 0.2000    
49           | 5.000s           | 6        | 0.5388     | 0.8492    
50           | 5.100s           | 5        | 1.2640     | 1.4987    
51           | 5.200s           | 2        | 1.3739     | 1.9386    
52           | 5.300s           | 4        | 0.7733     | 1.1895    
53           | 5.400s           | 1        | 2.6209     | 2.6209    
54           | 5.500s           | 5        | 0.7496     | 1.6528    
55           | 5.600s           | 6        | 0.3725     | 0.5639    
56           | 5.700s           | 4        | 0.5014     | 0.6432    
57           | 5.800s           | 1        | 0.0550     | 0.0550    
58           | 5.900s           | 6        | 0.4738     | 0.8331    
59           | 6.000s           | 4        | 0.9598     | 1.3491    
60           | 6.100s           | 2        | 0.9646     | 1.3499    
61           | 6.200s           | 2        | 1.0226     | 1.0902    
62           | 6.300s           | 5        | 0.5716     | 0.9771    
63           | 6.400s           | 4        | 1.2328     | 1.8081    
64           | 6.500s           | 1        | 3.3445     | 3.3445    
65           | 6.600s           | 2        | 0.1646     | 0.2328    
67           | 6.800s           | 2        | 0.2783     | 0.3936    
68           | 6.900s           | 4        | 1.3035     | 2.1106    
69           | 7.000s           | 1        | 0.0570     | 0.0570    
70           | 7.100s           | 1        | 0.4214     | 0.4214    
71           | 7.200s           | 1        | 0.2450     | 0.2450    
72           | 7.300s           | 2        | 0.1646     | 0.2328    
73           | 7.400s           | 1        | 1.2671     | 1.2671    
74           | 7.500s           | 2        | 0.4423     | 0.4566    
80           | 8.100s           | 1        | 0.2226     | 0.2226    
83           | 8.400s           | 1        | 0.0630     | 0.0630    
84           | 8.500s           | 1        | 0.0000     | 0.0000    
87           | 8.800s           | 1        | 0.4534     | 0.4534    
93           | 9.400s           | 2        | 1.8587     | 2.5903    
97           | 9.800s           | 1        | 2.6126     | 2.6126    
98           | 9.900s           | 1        | 0.0000     | 0.0000    
99           | 10.000s          | 1        | 0.3325     | 0.3325    
103          | 10.400s          | 1        | 0.0000     | 0.0000    
104          | 10.500s          | 1        | 0.7248     | 0.7248    
113          | 11.400s          | 1        | 2.6727     | 2.6727    
125          | 12.600s          | 1        | 1.4004     | 1.4004    
133          | 13.400s          | 1        | 0.0289     | 0.0289    
148          | 14.900s          | 1        | 2.6140     | 2.6140    
151          | 15.200s          | 1        | 0.0000     | 0.0000    
155          | 15.600s          | 1        | 0.0255     | 0.0255    
170          | 17.100s          | 1        | 2.6534     | 2.6534    
172          | 17.300s          | 1        | 0.0616     | 0.0616    
179          | 18.000s          | 1        | 0.0734     | 0.0734    
182          | 18.300s          | 1        | 0.3357     | 0.3357    
207          | 20.800s          | 1        | 0.0553     | 0.0553    
288          | 28.900s          | 1        | 0.0269     | 0.0269    
310          | 31.100s          | 1        | 0.0289     | 0.0289    
373          | 37.400s          | 1        | 1.4004     | 1.4004    
414          | 41.500s          | 1        | 0.0545     | 0.0545    
444          | 44.500s          | 1        | 0.7559     | 0.7559    
447          | 44.800s          | 1        | 0.8931     | 0.8931    
546          | 54.700s          | 1        | 0.0000     | 0.0000    
677          | 67.800s          | 1        | 0.1586     | 0.1586    
711          | 71.200s          | 1        | 0.0066     | 0.0066    

--- COMPUTE & TIMING METRICS ---
Device: CUDA (NVIDIA A100 80GB PCIe) on x86_64 (x86_64)
Total Parameters: 2,160,193
Trainable Parameters: 2,160,193

Average timings:
train_time: 1801.609105s (±111.834182s)
inference_time_total: 2.198497s (±1.520385s)
inference_time_per_sample: 0.000976s (±0.000285s)

--- COMPUTE & TIMING METRICS ---
Device: CUDA (NVIDIA A100 80GB PCIe) on x86_64 (x86_64)
Total Parameters: 2,160,193
Trainable Parameters: 2,160,193

Average timings:
train_time: 1801.609105s (±111.834182s)
inference_time_total: 2.198497s (±1.520385s)
inference_time_per_sample: 0.000976s (±0.000285s)
