combo,groups,n_groups,n_channels,cost,has_emg,has_imu,MAE,MAE_std,RMSE,R2,w_MAE,w_RMSE,w_R2,class_macro_MAE,class_macro_RMSE,class_macro_R2,zero_MAE,n_folds
IMUup-IMUfo-EMGfo-EMGsh,IMUup+IMUfo+EMGfo+EMGsh,4,18,8,True,True,0.2818921349506635,0.0730584116204531,0.5307844230036584,0.9203803926884896,0.5888422171537722,0.7759384103967402,0.7852399581285139,0.5005986188734521,0.635879177087517,0.8613918611241381,0.0618463627765489,17
all,IMUup+IMUfo+EMGfo+EMGup+EMGsh,5,20,11,True,True,0.2869535967445503,0.06021491668966518,0.5314522256363875,0.9215070906829348,0.6027143242613597,0.7925656954592649,0.7803781247450092,0.5120423156662965,0.6423018249311137,0.8591190155511893,0.06067380270130663,17
IMUup-EMGfo-EMGsh,IMUup+EMGfo+EMGsh,3,12,7,True,True,0.27577351578741555,0.06432852808593037,0.5365907586190828,0.9186788787470386,0.6026036592556736,0.798511547113748,0.7731701692398235,0.508770201472704,0.6528498838996958,0.8543648542532326,0.041540382229442764,17
IMUfo-EMGfo-EMGup-EMGsh,IMUfo+EMGfo+EMGup+EMGsh,4,14,10,True,True,0.30290248606277004,0.07830009034556484,0.5554905192707055,0.9138181830913944,0.6337718381455104,0.8219173402404806,0.7622639257414451,0.538508347765032,0.6707386877391579,0.8472343028249769,0.06523230168634443,17
IMUup-EMGfo-EMGup-EMGsh,IMUup+EMGfo+EMGup+EMGsh,4,14,10,True,True,0.2972995610967399,0.06683973045987554,0.5607086557650732,0.9117239088005455,0.6352490349079776,0.8345914101502558,0.7537002914188546,0.538062351112042,0.6801585160963806,0.8421142393999216,0.05530871900236522,17
IMUfo-EMGfo-EMGsh,IMUfo+EMGfo+EMGsh,3,12,7,True,True,0.3056562255615579,0.08966818386930345,0.5698297784181129,0.9075226703727215,0.6379117990540053,0.8394695768648144,0.7461650581645595,0.5423361090141544,0.6805620628933479,0.8367030585769277,0.06763097742488056,17
IMUup-IMUfo-EMGfo,IMUup+IMUfo+EMGfo,3,15,5,True,True,0.3106579905978247,0.08145268980020949,0.5901321171346541,0.9003588554108939,0.6647470256422442,0.8721371633952615,0.7250871328799109,0.5627160082241479,0.7127002093549081,0.823366613573416,0.05635183347706032,17
IMUup-IMUfo-EMGfo-EMGup,IMUup+IMUfo+EMGfo+EMGup,4,17,8,True,True,0.327368434149478,0.10532698687290909,0.5893032049232506,0.8997421640023564,0.6709626492872637,0.867981114005993,0.7251583450152631,0.5722587835495403,0.7132027325656999,0.8231900660986484,0.08136037648186549,17
IMUup-EMGfo-EMGup,IMUup+EMGfo+EMGup,3,11,7,True,True,0.33240818412249007,0.08859023246779552,0.5993681415259784,0.8973102363131298,0.6863582412361221,0.8882597526777442,0.7158195039516136,0.5845088952494674,0.7328521985669489,0.8176336199167515,0.07836226773531478,17
IMUup-EMGfo,IMUup+EMGfo,2,9,4,True,True,0.32159908338485776,0.08361156729266037,0.6066801395816959,0.8944751394928471,0.6831320640568677,0.8956032304465342,0.7095677451296539,0.5787544691653442,0.7373044965308075,0.813975060526063,0.06253944579789095,17
