combo,groups,n_groups,n_channels,cost,has_emg,has_imu,MAE,MAE_std,RMSE,R2,w_MAE,w_RMSE,w_R2,class_macro_MAE,class_macro_RMSE,class_macro_R2,zero_MAE,n_folds
all,IMUup+IMUfo+EMGfo+EMGup+EMGsh,5,20,11,True,True,0.16034465949746035,0.003244562184191663,0.36043870744931006,0.965023497899041,0.38563433854968626,0.5601852899251585,0.8882342047773341,0.3227879542272164,0.4548348311895693,0.9282197403184101,0.014273395522822876,3
IMUfo-EMGfo-EMGup-EMGsh,IMUfo+EMGfo+EMGup+EMGsh,4,14,10,True,True,0.16515801511707776,0.0014721383887414436,0.3639479024302641,0.9643747392690317,0.392437349414409,0.5756758848379587,0.8837767459192504,0.32820982220374884,0.45624787940073597,0.9260247283916513,0.014333661934112866,3
IMUup-IMUfo-EMGfo-EMGup,IMUup+IMUfo+EMGfo+EMGup,4,17,8,True,True,0.16916726239378208,0.00492230119496652,0.3664296057775644,0.9638229965355025,0.39674736299389296,0.5638787924681569,0.8895566756600449,0.3324975536551366,0.46176482754407516,0.9290552391891186,0.015432804866825226,3
IMUfo-EMGfo-EMGup,IMUfo+EMGfo+EMGup,3,11,7,True,True,0.16455699261212087,0.002822251267608459,0.36663012095228553,0.9638323755823119,0.3913076212979341,0.5705807520060239,0.8868055972756652,0.3265764119954935,0.4644024655350576,0.9280811346323911,0.014197642768614523,3
IMUup-IMUfo-EMGfo-EMGsh,IMUup+IMUfo+EMGfo+EMGsh,4,18,8,True,True,0.17400932618984652,0.0006495858808194884,0.3876630941776726,0.9595901387265316,0.3939586882756148,0.5714103837090736,0.8853777178228897,0.33214618636362736,0.47113257505590944,0.9255054095780496,0.021115617490432958,3
IMUfo-EMGfo-EMGsh,IMUfo+EMGfo+EMGsh,3,12,7,True,True,0.17742258068917552,0.01158228845504377,0.3879987870516209,0.9594808469997389,0.4022705500658323,0.5785024789676668,0.8815292654668117,0.338353417370299,0.4793015572770415,0.9236930002207812,0.02809114770271304,3
IMUup-EMGfo-EMGup-EMGsh,IMUup+EMGfo+EMGup+EMGsh,4,14,10,True,True,0.17702084787775144,0.00934707029525184,0.3817277430823694,0.9606959696895258,0.4133900993392381,0.5984168758181215,0.8740447694207856,0.34675593489264395,0.48758056123329135,0.9197261680186322,0.022448237561538173,3
IMUup-IMUfo-EMGfo,IMUup+IMUfo+EMGfo,3,15,5,True,True,0.1750921859555832,0.007403757149649149,0.40012383580867755,0.9567722234154467,0.4081152425225931,0.5980160532707222,0.8744394707236685,0.3414664067618843,0.48823912108069295,0.9195303132651442,0.016700655731434172,3
IMUup-EMGfo-EMGsh,IMUup+EMGfo+EMGsh,3,12,7,True,True,0.1731007100867814,0.0074108954551069675,0.3843964509529651,0.960190203665901,0.41794123201174616,0.6081240556797185,0.8696337343445388,0.34923882236877063,0.4901981408309819,0.917561406666762,0.014615598071866182,3
IMUup-EMGfo-EMGup,IMUup+EMGfo+EMGup,3,11,7,True,True,0.17562642227523853,0.010320147605912365,0.39635169853274377,0.9576281012545692,0.42155709252590906,0.6189865328234072,0.8661836473611283,0.3523515147276886,0.5028380492302126,0.9145561672912036,0.01649202447953147,3
IMUfo-EMGfo,IMUfo+EMGfo,2,9,4,True,True,0.18262254873488704,0.009195834499637102,0.41547945320061436,0.9532773157699438,0.4277248534082528,0.6167197328540311,0.8676057316711332,0.35824990388245664,0.5081024462895606,0.9148715151949616,0.01635529111024418,3
emg_only,EMGfo+EMGup+EMGsh,3,8,9,True,False,0.1978018598768725,0.007671532126446847,0.4099317093474453,0.9547071775281403,0.4443927879993822,0.6213286223462954,0.864535652007386,0.3751466643071579,0.517402802484677,0.9126876383750603,0.030415344854149325,3
