weight_decay,pool_size,loss_type,learning_rate,gru_num_layers,gru_hidden_size,dropout_rate,cnn_kernel_sizes,cnn_filters,batch_size,channel_dropout_p,magnitude_scale_range,target_transform,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.0005,4,mse,0.002,2,128,0.6,"[32, 5, 3]","[32, 64, 128]",128,0.35,"(0.5, 2.0)",sqrt,0.3815002013651756,0.43814287868598767,0.6619236199789125,0.8652055367318336,27,3.336153940277838,0.08248453329889216,230.23400592803955,17
0.001,4,huber,0.002,1,192,0.4,"[32, 5, 3]","[64, 128, 256]",64,0.15,"(0.5, 2.0)",log1p,0.39810304485698533,0.460512779976377,0.6786109194349712,0.8583234464720466,33,2.767819617387865,0.025079625475559704,270.4556453227997,46
0.005,4,huber,0.002,1,128,0.5,"[64, 5, 3]","[64, 128, 256]",32,0.25,"(0.5, 2.0)",none,0.40319010006851247,0.4714871577389987,0.6866492246693349,0.8549471839965475,41,2.693371172122609,0.1961420964716923,369.0926742553711,12
0.005,4,mse,0.001,1,192,0.3,"[64, 5, 3]","[32, 64, 128]",32,0.25,"(0.3, 3.0)",none,0.38583058126384134,0.4758659808263333,0.6898304000450642,0.8536000410061748,40,3.165018856390696,0.47601428020679526,329.6787004470825,5
0.0005,4,huber,0.002,2,128,0.3,"[64, 5, 3, 3]","[64, 128, 256, 256]",128,0.5,"(0.5, 2.0)",log1p,0.39621745452862983,0.4828680133769605,0.6948870508053525,0.8514458687820852,25,2.4087556680687485,0.025197965446282788,249.57815146446228,57
0.001,4,huber,0.001,2,192,0.4,"[64, 5, 3]","[32, 64, 128]",32,0.25,"(0.3, 3.0)",log1p,0.41228425130633045,0.48941647864269094,0.6995830748686613,0.8494312363330274,29,2.291125844540003,0.02333669157892682,281.94807958602905,8
0.005,4,huber,0.002,3,192,0.4,"[64, 5, 3]","[64, 128, 256]",32,0.35,"(0.5, 2.0)",sqrt,0.3951928856969618,0.4904656623410879,0.7003325369716075,0.8491084554312374,24,2.0549539706477535,0.03581680099102316,280.44126772880554,4
0.005,4,mse,0.0005,3,192,0.5,"[32, 5, 3]","[64, 128, 256]",32,0.35,"(0.3, 3.0)",log1p,0.4016314965444201,0.5005851628404636,0.7075204328077483,0.8459951955685047,47,2.9940479465562113,0.04538219102506533,543.8876504898071,42
0.0001,4,mse,0.002,2,128,0.4,"[32, 5, 3]","[32, 64, 128]",64,0.35,"(0.3, 3.0)",log1p,0.4396548311454743,0.5078556865995983,0.7126399417655442,0.8437584221426072,19,1.4305419156540435,0.05086582626212672,167.9030363559723,2
0.0005,4,huber,0.001,3,192,0.3,"[64, 5, 3]","[64, 128, 256]",128,0.15,"(0.5, 2.0)",sqrt,0.3924641301089783,0.5212565060678803,0.7219809596297401,0.8396356659471897,28,3.1712955103274822,0.03688565520820108,307.3867127895355,11
