weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.01,1,3,4,4,0.0005,0.2,256,160,128,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.01,"(0.8, 1.2)","(0.8, 1.2)",0.3515482585190558,0.2708597619889026,0.5204418910780555,0.924234984932718,13,3.7343607617257355,0.27672374082187,59.345234870910645,1
0.01,1,3,4,4,0.001,0.3,256,160,64,ReduceLROnPlateau,0.1,0.5,0.25,0.8,0.05,"(0.9, 1.1)","(0.9, 1.1)",0.31301754594961706,0.296504170619221,0.544521965231175,0.9170617193579399,13,4.62705270999734,0.30802469982640596,21.694358587265015,10
0.005,1,3,4,4,0.001,0.3,256,160,32,ReduceLROnPlateau,0.1,0.8,0.4,0.2,0.01,"(0.8, 1.2)","(0.7, 1.3)",0.32303972747407256,0.314186415758641,0.560523340957931,0.9121156337541786,9,3.0772611503930603,0.34343318279332524,23.3672456741333,7
0.005,1,3,4,4,0.0005,0.3,256,160,32,ReduceLROnPlateau,0.1,0.5,0.4,0.8,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3645338410290792,0.31797072753014394,0.5638889319095951,0.9110570843547334,12,3.4030749604477313,0.3192888701483495,25.74640130996704,3
0.001,1,3,4,4,0.0005,0.4,256,160,64,ReduceLROnPlateau,0.1,1.0,0.1,0.5,0.05,"(0.9, 1.1)","(0.8, 1.2)",0.32109028972263925,0.3357110749890396,0.5794057947492756,0.9060947463439029,19,7.443353259632439,0.349812940954263,37.185362815856934,6
0.01,1,3,4,4,0.002,0.3,256,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.2,0.05,"(0.5, 2.0)","(0.8, 1.2)",0.34959572783771053,0.3536553328900714,0.594689274234933,0.9010753704120191,14,,0.354160744994654,26.502700090408325,11
0.01,1,3,4,4,0.0005,0.5,256,160,32,ReduceLROnPlateau,0.1,0.8,0.1,0.5,0.01,"(0.8, 1.2)","(0.9, 1.1)",0.325750535695756,0.36037152317080556,0.6003095228053654,0.8991967146305989,16,7.621611480545665,0.4110972558571023,38.470004081726074,12
0.0001,1,3,4,4,0.002,0.3,256,160,64,ReduceLROnPlateau,0.1,0.5,0.4,0.5,0.1,"(0.9, 1.1)","(0.7, 1.3)",0.42709294279910853,0.37329735558962984,0.6109806507489659,0.8955810949432069,12,,0.37339366030729015,19.999220848083496,4
0.005,1,3,4,4,0.002,0.3,256,160,32,ReduceLROnPlateau,0.1,0.8,0.25,0.8,0.01,"(0.8, 1.2)","(0.9, 1.1)",0.35145338628918693,0.38740809170814033,0.6224211530050536,0.891634033457296,9,,0.4219277475933863,23.294530868530273,5
0.005,1,3,4,4,0.001,0.5,256,160,32,ReduceLROnPlateau,0.1,1.0,0.25,0.2,0.05,"(0.9, 1.1)","(0.9, 1.1)",0.3919338274106585,0.41528723725589406,0.6444278371205686,0.8838356662617468,18,6.00511409373246,0.41574469240182843,46.626566886901855,8
0.0001,1,3,4,4,0.002,0.5,256,160,128,ReduceLROnPlateau,0.1,0.8,0.1,0.2,0.01,"(0.9, 1.1)","(0.7, 1.3)",0.3683911945203356,0.4224449287725702,0.6499576361368257,0.8818335135550257,21,6.786606032517235,0.4311796845713712,32.62021565437317,2
0.005,1,3,4,4,0.001,0.5,256,160,64,ReduceLROnPlateau,0.1,0.8,0.4,0.5,0.05,"(0.8, 1.2)","(0.8, 1.2)",0.381382148123682,0.43536360061914114,0.6598208852553404,0.8782198968261414,13,4.995743226670835,0.45181345193454403,25.725054502487183,9
