weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.01,2,4,4,8,0.0003,0.4,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2556511771913006,0.2369844045399143,0.48681044004819196,0.9362748529378362,1638146,27,,0.25658640407266153,238.72279167175293,95
0.01,4,2,4,8,0.0005,0.5,1024,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2650306671977334,0.24774026007164732,0.4977351304375122,0.933382601538974,3034818,22,,0.2933570621463918,294.68372678756714,94
0.001,2,3,2,8,0.0003,0.4,2048,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2830264379671884,0.2485433386817938,0.49854121061532497,0.933166653562847,4231874,21,,0.2849468769867529,214.18186712265015,92
0.01,3,3,2,8,0.0005,0.4,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.27451156428733536,0.2572465837711345,0.5071948183599025,0.9308263494643008,1241730,25,,0.2852124029266056,245.01999068260193,64
0.001,3,2,2,8,0.0003,0.4,1024,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2770390200146543,0.260948057699974,0.5108307525002522,0.9298310224894308,4859138,22,,0.28330049155264625,262.53786444664,213
0.005,4,4,2,8,0.0003,0.4,512,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.26805481744469867,0.2610918409907343,0.5109714678832217,0.9297923591378632,5387778,24,4.1703306291877515,0.2933423851565678,352.09383940696716,21
0.005,4,3,4,8,0.0005,0.4,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3011014340107636,0.26199635838287894,0.511855798426548,0.9295491342558436,4349634,30,,0.2619676648173132,422.7520954608917,158
0.01,2,2,2,8,0.0003,0.4,2048,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28723678489810794,0.26209844108201125,0.5119555069359165,0.9295216842005232,2208898,22,3.5072523458706635,0.3171743362817832,155.8181083202362,161
0.001,4,2,2,8,0.0003,0.4,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2778189775491579,0.262363361519522,0.5122141754378944,0.9294504470493995,3034818,23,4.285993694737589,0.3336550433018202,252.70616221427917,117
0.005,3,4,4,8,0.0005,0.5,2048,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.26564990476782124,0.26387269402221875,0.5136854037465136,0.9290445872803283,3217154,31,,0.29257310027478783,402.01623153686523,93
0.01,4,4,4,8,0.001,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29826138354188414,0.26411583138296696,0.5139220090470605,0.9289792076022855,2164482,22,,0.26501471566152324,211.76798582077026,191
0.01,4,3,2,8,0.0005,0.5,2048,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28369677583275216,0.2682894905477769,0.5179666886468443,0.9278569099364066,3217154,24,2.965729252759371,0.26850316475766633,325.1968343257904,69
0.005,4,2,2,8,0.0005,0.4,2048,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2875978578883101,0.2696339014792011,0.5192628443083532,0.9274953976061614,5614210,24,,0.2696507216036454,313.3603391647339,66
0.005,2,2,2,8,0.001,0.4,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28673771176893553,0.2717684309489649,0.5213141384510542,0.9269214222653228,1551490,23,,0.33250486089359615,148.8921263217926,73
0.001,3,4,4,8,0.0005,0.5,1024,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2891023773426737,0.2742586901443945,0.523697135894779,0.9262517911401872,4037250,21,,0.33976018653493667,302.94521737098694,15
0.01,4,4,4,8,0.0005,0.5,1024,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.27914464779964465,0.2751431621730315,0.524540906100784,0.9260139564598558,3034818,23,,0.3104483986327904,301.5088782310486,192
0.005,4,4,2,8,0.0005,0.4,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28903835915039106,0.2755793440632777,0.5249565163547146,0.9258966670746924,3034818,26,,0.28625657163610696,284.6327245235443,25
0.001,4,2,4,8,0.0005,0.5,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2867797417633979,0.2757316612363641,0.5251015723042202,0.9258557089607024,1638146,23,,0.29232207146338385,266.398068189621,91
