weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
5e-05,1,3,4,8,0.0003,0.15,192,160,64,ReduceLROnPlateau,0.15,0.2762369339790413,0.25704753746411924,0.5069985576548707,0.9306408717036797,22,11.604495122146895,0.2574213159048575,174.18074440956116,36
5e-05,1,3,4,8,0.0003,0.2,384,192,128,OneCycleLR,0.05,0.2919639853926211,0.2570723485901062,0.5070230257001216,0.9306341769183981,22,7.337950331959756,0.2582950471580654,138.3091595172882,37
5e-05,1,3,4,4,0.0003,0.4,512,128,64,ReduceLROnPlateau,0.1,0.2837472837254383,0.26215897511585196,0.5120146239277272,0.9292616526558619,21,4.434095360975759,0.2654876441165604,122.51103186607361,11
1e-05,1,3,4,8,0.0003,0.3,256,128,128,ReduceLROnPlateau,0.1,0.2780122410289709,0.2733737741813714,0.5228515794959133,0.9262355638052291,22,4.020698306288553,0.28190814136922626,129.20718431472778,17
0.0001,1,3,4,4,0.0003,0.15,512,128,128,ReduceLROnPlateau,0.05,0.271639464757119,0.27430658335310243,0.5237428599542933,0.9259838639381291,22,6.461880437586458,0.2858208005574868,107.99090099334717,29
0.0001,1,3,4,4,0.0003,0.3,256,160,64,ReduceLROnPlateau,0.15,0.28666764957083574,0.27565309211446465,0.525026753713051,0.9256205355248216,21,5.982573743410295,0.2845682556795395,148.57798671722412,8
1e-05,1,3,4,4,0.0003,0.15,384,128,128,ReduceLROnPlateau,0.15,0.2741186236568253,0.2757588987454533,0.5251275071308428,0.9255919857251785,23,6.57906707645358,0.2764911285494042,112.35038733482361,27
0.0001,1,3,4,4,0.0003,0.2,256,160,32,ReduceLROnPlateau,0.05,0.29136869759262946,0.2787152902212501,0.5279349299120585,0.9247942627137586,21,8.952154216074616,0.2801416352056134,208.72702169418335,10
5e-05,1,3,4,4,0.0003,0.3,256,128,64,ReduceLROnPlateau,0.05,0.2864148066820591,0.27890432151171296,0.5281139285340929,0.9247432564070787,21,4.42434511799602,0.28331632984095606,126.4895224571228,7
1e-05,1,3,2,8,0.0005,0.3,512,96,32,ReduceLROnPlateau,0.05,0.2799167498976841,0.2797090903225851,0.5288753069699749,0.924526105666197,21,5.944802557052011,0.28054333847502005,194.75414180755615,5
5e-05,1,3,4,8,0.001,0.15,384,96,128,ReduceLROnPlateau,0.05,0.27829496064163306,0.28052554867984486,0.5296466262328543,0.9243058007354108,22,11.838059624921076,0.2818898429488135,127.49748802185059,26
0.0001,1,3,4,8,0.0005,0.3,384,128,128,OneCycleLR,0.1,0.2772108573799816,0.28400837496321957,0.5329243613902629,0.923366029837757,24,6.476681615916677,0.2900416020153166,136.89053344726562,31
0.0001,1,3,4,8,0.0003,0.15,512,96,32,ReduceLROnPlateau,0.1,0.28132635263943595,0.28601135152612367,0.534800291254711,0.9228255667398741,21,8.391050797422261,0.30297842152651283,217.21388006210327,19
0.0001,1,3,4,8,0.0003,0.3,384,96,128,OneCycleLR,0.05,0.30689779558588803,0.29410656609233526,0.5423159283040977,0.9206412352686478,22,3.3719456388004287,0.29664897184589994,121.7644898891449,15
1e-06,1,3,2,4,0.0003,0.3,256,128,128,OneCycleLR,0.1,0.28833013207989294,0.2967348007889812,0.5447336971300575,0.9199320587897915,23,4.367568596789309,0.2982942885142574,111.50647807121277,13
1e-06,1,3,2,8,0.0005,0.3,256,160,128,ReduceLROnPlateau,0.05,0.3024708376215673,0.29759963094832687,0.5455269296270596,0.9196987016972927,21,5.964872580348476,0.30602258474215577,132.4235439300537,22
5e-05,1,3,2,4,0.0003,0.2,384,96,32,ReduceLROnPlateau,0.05,0.28369051795731415,0.2992374933085421,0.547026044451763,0.9192567573523105,22,7.144675628754488,0.2993471854183449,223.58587908744812,35
0.0001,1,3,4,8,0.0005,0.15,384,128,32,ReduceLROnPlateau,0.05,0.2817964345507714,0.3033860430788701,0.5508049047338541,0.9181373543088014,21,12.281603586882822,0.30665440502195346,210.1689510345459,38
0.0001,1,3,4,4,0.0005,0.4,384,96,128,OneCycleLR,0.15,0.29613253488758695,0.3036901355303841,0.551080879300293,0.9180553010529461,23,4.537033986566062,0.304599448899994,107.20233225822449,9
0.0001,1,3,2,4,0.001,0.2,192,128,128,ReduceLROnPlateau,0.15,0.38262844291720344,0.30641092308075096,0.5535439667097375,0.9173211510407163,22,8.267693530601354,0.3063284879502864,99.59185242652893,16
1e-05,1,3,4,8,0.0005,0.4,384,128,128,OneCycleLR,0.05,0.2959453564233374,0.30901294862131906,0.5558893312713593,0.9166190465775536,29,6.99046691615223,0.31576788315529947,171.22559905052185,12
1e-06,1,3,4,4,0.001,0.2,192,192,128,OneCycleLR,0.15,0.2947794971602074,0.31839037206054827,0.5642609077904903,0.914088736729706,24,7.882795482800861,0.3205604562426972,135.73428440093994,3
1e-05,1,3,4,4,0.0005,0.3,192,96,64,ReduceLROnPlateau,0.05,0.30478846287085737,0.3201096503936555,0.5657823348193681,0.9136248239155258,21,5.819036738187712,0.32413523613602324,124.28503823280334,21
1e-06,1,3,2,4,0.0005,0.15,256,128,32,OneCycleLR,0.05,0.30358009318116896,0.3236779744670195,0.5689270379117339,0.9126619831521053,21,12.285681508899941,0.3297090281968353,189.98603987693787,39
0.0001,1,3,4,8,0.0003,0.15,512,192,64,ReduceLROnPlateau,0.15,0.2936090970633716,0.32444216334596093,0.5695982473164405,0.912455782092877,25,17.701515889661543,0.32506861493237194,203.31358170509338,20
0.0001,1,3,2,4,0.0005,0.3,256,96,32,OneCycleLR,0.05,0.2987090994840798,0.32612232548038883,0.5710712087650618,0.9120024240012569,22,5.800345280864197,0.33671321429234036,192.9936466217041,25
1e-05,1,3,4,4,0.001,0.3,192,128,64,ReduceLROnPlateau,0.15,0.3080774537332992,0.33321646894913304,0.577249052791889,0.9100882115102314,22,6.646987458129392,0.33342644821578776,128.9632432460785,28
5e-05,1,3,2,4,0.0005,0.3,384,128,32,ReduceLROnPlateau,0.1,0.3122366102097497,0.3376585321492131,0.5810839286619559,0.9088896097479495,22,6.589153040352984,0.3377629605592459,220.52111959457397,33
1e-05,1,3,2,4,0.0005,0.2,512,128,128,ReduceLROnPlateau,0.05,0.3087546570175725,0.33998537876719653,0.5830826517460423,0.9082617568041138,24,9.784361044218787,0.340577250585027,114.45627331733704,18
5e-05,1,3,2,4,0.001,0.3,512,192,128,ReduceLROnPlateau,0.1,0.3091851847501575,0.342613389507402,0.5853318627132834,0.9075526407554162,25,3.6327781894991187,0.35412833761239515,147.061674118042,6
