weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.0001,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.25,0.5,0.1,"(0.8, 1.2)","(0.7, 1.3)",0.26617660372300156,0.23391135045683314,0.48364382602989275,0.9371011977083054,16,5.201671586633649,0.2626553852555453,133.50496983528137,207
0.001,3,3,2,8,0.001,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.1,0.2,0.1,"(0.9, 1.1)","(0.9, 1.1)",0.2636475301849735,0.2400344324120581,0.48993308972966715,0.9354546999194406,22,9.141177639080095,0.24079209778203564,136.05996465682983,170
0.005,3,3,2,8,0.001,0.2,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.25,0.8,0.05,"(0.8, 1.2)","(0.7, 1.3)",0.285317450284399,0.24461175139880045,0.4945824010200934,0.9342238580581508,16,,0.2446680006212698,202.62542486190796,39
0.005,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,1.0,0.25,0.5,0.05,"(0.9, 1.1)","(0.9, 1.1)",0.27453678814683385,0.24959487468803573,0.49959471042839887,0.9328838953502591,18,7.297493945554975,0.2545760358013744,194.49468183517456,13
0.01,3,3,2,8,0.0005,0.3,1024,128,64,ReduceLROnPlateau,0.1,1.0,0.1,0.8,0.1,"(0.8, 1.2)","(0.7, 1.3)",0.27314292427421244,0.251582638326103,0.5015801414790093,0.9323493853667579,18,5.129495977234291,0.25393499014570764,175.6940052509308,88
0.01,3,3,2,8,0.0005,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.8, 1.2)","(0.7, 1.3)",0.27589842714522445,0.25272789737626455,0.5027204962762754,0.9320414250115712,24,4.114726698201712,0.2556974365932773,147.73490405082703,121
0.0001,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.25,0.8,0.01,"(0.8, 1.2)","(0.7, 1.3)",0.29801596183803236,0.2562528676527093,0.5062142507404442,0.9310935598991292,18,5.008530390721519,0.25891325882309735,159.26924967765808,227
0.005,3,3,2,8,0.0005,0.5,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2746905924630004,0.2564390245760914,0.5063980890328196,0.9310435022704756,23,3.3790024514235055,0.2661071910146297,203.78666973114014,214
0.0001,3,3,2,8,0.0005,0.4,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.1,0.2,0.05,"(0.9, 1.1)","(0.7, 1.3)",0.27436465169065716,0.25785627218241847,0.5077955023259053,0.9306624041458458,18,4.877994628612045,0.2866586476184333,152.6058087348938,104
0.0001,3,3,2,8,0.001,0.2,1024,128,32,ReduceLROnPlateau,0.1,0.5,0.4,0.8,0.1,"(0.9, 1.1)","(0.9, 1.1)",0.28219856380564506,0.25922763185218684,0.5091440187728683,0.9302936452952337,16,,0.25942865710395313,165.76967239379883,155
