iteration,n_categories,n_features,rmse,mae,r2,total_params,training_time,toggle_EMG_BW,toggle_EMG_HjComp,toggle_EMG_HjMob,toggle_EMG_IEMG,toggle_EMG_Kurt,toggle_EMG_LogDet,toggle_EMG_MAV,toggle_EMG_MDF,toggle_EMG_MNF,toggle_EMG_Myopulse,toggle_EMG_PeakFreq,toggle_EMG_Power,toggle_EMG_RMS,toggle_EMG_SSC,toggle_EMG_Skew,toggle_EMG_SpecEntropy,toggle_EMG_VAR,toggle_EMG_WAMP,toggle_EMG_WL,toggle_EMG_ZC,toggle_IMU_DomFreq,toggle_IMU_Jerk,toggle_IMU_Kurt,toggle_IMU_MNF,toggle_IMU_Max,toggle_IMU_Mean,toggle_IMU_P2P,toggle_IMU_SMA,toggle_IMU_SVM_Mean,toggle_IMU_Skew,toggle_IMU_SpecEnergy,toggle_IMU_Std,toggle_IMU_Var
31,20,180,0.3311,0.1604,0.9705,1019074,1599.6,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
33,14,116,0.3342,0.1403,0.97,1012930,1600.2,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
49,16,136,0.3382,0.1698,0.9693,1014850,1571.6,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
29,17,152,0.3398,0.1677,0.969,1016386,1593.7,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
21,14,116,0.3415,0.1715,0.9687,1012930,1560.0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1
36,21,180,0.3417,0.1935,0.9686,1019074,1568.0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0
40,18,164,0.3426,0.1763,0.9685,1017538,1579.2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0
44,19,164,0.3427,0.1742,0.9684,1017538,1571.4,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1
5,15,148,0.343,0.1533,0.9684,1016002,1577.7,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0
20,15,148,0.3437,0.171,0.9682,1016002,1560.5,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1
28,15,136,0.3444,0.1717,0.9681,1014850,1602.4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1
