stage,tag,feature_set,config_id,fidelity_epochs,rmse,mae,r2,n_features,total_params,training_time,epochs_trained,params_json
Stage A,all_33,all_33,,200,0.3644724058368933,0.17257063018634544,0.9642962266517595,292,1029826,1726.8555793762207,200,{}
Stage A,sweep_best_rmse_20,sweep_best_rmse_20,,200,0.34981972277848167,0.1674314400538551,0.9671092791030337,180,1019074,1601.4610040187836,200,{}
Stage A,sweep_lean_14,sweep_lean_14,,200,0.3603229874398689,0.18256220712717994,0.9651045543531507,116,1012930,1592.0695433616638,200,{}
Stage A,ridge_positive_17,ridge_positive_17,,200,0.34584959381544134,0.15895838361000272,0.9678516010022323,160,1017154,1613.801524400711,200,{}
Stage B rung 1,config #1,ridge_positive_17,1,60,0.3249676015220322,0.15390405255123324,0.9716165658659963,,1412418,516.6067461967468,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0002, ""dropout_rate"": 0.2, ""dim_feedforward"": 1024, ""d_model"": 96, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #2,ridge_positive_17,2,60,0.44415531317059237,0.2224298654169952,0.9469781919388626,,1619714,527.3729829788208,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0003, ""dropout_rate"": 0.5, ""dim_feedforward"": 512, ""d_model"": 128, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #3,ridge_positive_17,3,60,0.4091968472386728,0.20467445491972636,0.9549961811694586,,1223298,398.2423870563507,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0003, ""dropout_rate"": 0.35, ""dim_feedforward"": 512, ""d_model"": 128, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #4,ridge_positive_17,4,60,0.37469276474463237,0.19306927620199774,0.9622657759394126,,2354370,778.5950841903687,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0008, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #5,ridge_positive_17,5,60,0.35759361361773384,0.16075710116813097,0.9656312040369277,,3011778,813.0735521316528,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.2, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 8, ""learning_rate"": 0.0008, ""dropout_rate"": 0.2, ""dim_feedforward"": 1024, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #6,ridge_positive_17,6,60,0.3639636618466515,0.18322237264311694,0.964395830368165,,1017154,471.667512178421,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0005, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 96, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #7,ridge_positive_17,7,60,0.37137562650845457,0.17975520215760463,0.9629309373120185,,2354370,787.0089733600616,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0005, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #8,ridge_positive_17,8,60,0.397900432429643,0.18382247492808332,0.9574466620866579,,2146050,547.8057203292847,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0008, ""dropout_rate"": 0.25, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #9,ridge_positive_17,9,60,0.3552358570191228,0.15800632886321045,0.9660829241470621,,1017154,674.3150787353516,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.2, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 2, ""nhead_spatial"": 8, ""learning_rate"": 0.0008, ""dropout_rate"": 0.2, ""dim_feedforward"": 512, ""d_model"": 96, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #10,ridge_positive_17,10,60,0.3857598795887487,0.19458746856612974,0.960003782187709,,2146050,555.3806691169739,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0001, ""dropout_rate"": 0.35, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #11,ridge_positive_17,11,60,0.41844592963345534,0.20617951303682594,0.9529387449196336,,2354370,603.494039773941,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0003, ""dropout_rate"": 0.35, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #12,ridge_positive_17,12,60,0.3670569131051978,0.18592531727729314,0.9637880738732308,,1618050,598.0680317878723,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 8, ""learning_rate"": 0.0003, ""dropout_rate"": 0.25, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #13,ridge_positive_17,13,60,0.393454495997234,0.20700084797571605,0.9583922880116437,,1065314,407.62477827072144,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.1, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0008, ""dropout_rate"": 0.25, ""dim_feedforward"": 1024, ""d_model"": 96, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #14,ridge_positive_17,14,60,0.3612492249129302,0.1849257627572754,0.9649249210079831,,1017154,479.2879362106323,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.2, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0005, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 96, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #15,ridge_positive_17,15,60,0.3704474938590925,0.17673051046755037,0.9631159899263722,,1618050,602.1381120681763,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.1, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0008, ""dropout_rate"": 0.25, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #16,ridge_positive_17,16,60,0.48037444264544504,0.24439433219084708,0.9379781670360505,,3011778,822.4471635818481,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0008, ""dropout_rate"": 0.5, ""dim_feedforward"": 1024, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #17,ridge_positive_17,17,60,0.3557758444578151,0.17645560781634492,0.9659797323405725,,1618050,580.9463727474213,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0001, ""dropout_rate"": 0.2, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #18,ridge_positive_17,18,60,0.33598796564876937,0.14408725957075755,0.9696588348595591,,2146050,739.1606824398041,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.2, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0003, ""dropout_rate"": 0.2, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #19,ridge_positive_17,19,60,0.4399022367911651,0.22638537455701735,0.9479887668902782,,2146050,732.4859466552734,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0008, ""dropout_rate"": 0.35, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #20,ridge_positive_17,20,60,0.3513596333271861,0.15931681921998583,0.9668190710730348,,2354370,779.9968991279602,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0003, ""dropout_rate"": 0.2, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #21,ridge_positive_17,21,60,0.5088389635421731,0.2557532190891118,0.9304102095856717,,2354370,786.4719331264496,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0003, ""dropout_rate"": 0.5, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #22,ridge_positive_17,22,60,0.39057646146091507,0.1957576972503756,0.9589987645742633,,2354370,625.9254169464111,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0002, ""dropout_rate"": 0.35, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #23,ridge_positive_17,23,60,0.5430134556875855,0.31349163675174696,0.9207487734061076,,2146050,733.8691954612732,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0008, ""dropout_rate"": 0.5, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #24,ridge_positive_17,24,60,0.3522887037421402,0.17719764124136864,0.9666433640558288,,2270114,511.32343792915344,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0001, ""dropout_rate"": 0.25, ""dim_feedforward"": 1024, ""d_model"": 160, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #25,ridge_positive_17,25,60,0.3833749953194166,0.18989813698283453,0.9604967909327208,,768866,550.8922407627106,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.2, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0008, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 96, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
