weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.01,4,3,4,8,0.0003,0.4,512,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2704889073445219,0.2406054150853714,0.49051545855902584,0.9353011625805703,2377410,23,,,288.09687995910645,32
0.01,2,3,2,8,0.0003,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29378669867650603,0.2519575202898119,0.5019537033330981,0.9322485795423633,1636482,22,0.6963779794735797,0.26512569433101923,222.99104356765747,74
0.005,4,4,4,8,0.0003,0.4,1024,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.27053095928736626,0.2579990111166636,0.5079360305359953,0.9306240216219243,4037250,22,,,308.8783531188965,127
0.001,2,4,4,8,0.0003,0.4,512,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2847532380137422,0.25825428930699734,0.5081872581116113,0.9305553772727219,5387778,25,,,364.63647508621216,40
0.01,3,3,4,8,0.0003,0.4,2048,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.293073996682768,0.259042165806578,0.5089618510326467,0.9303435171467356,2425986,21,,,225.5980348587036,96
0.005,3,2,2,8,0.0003,0.4,512,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3004487296568659,0.2596672622912407,0.5095755707363145,0.930175428594704,4071170,24,,,281.9570996761322,138
0.005,4,2,4,8,0.0003,0.5,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2796049765934532,0.2643359388264043,0.5141361092419052,0.928920020672961,1638146,23,,,261.9680721759796,102
0.005,4,4,2,8,0.0003,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.27323843243225165,0.2682261586923749,0.5179055499725552,0.9278739398831959,2164482,29,1.4272090484704087,0.28494497619217174,345.6275815963745,62
0.01,3,4,2,8,0.0003,0.4,512,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3143559272412688,0.26929954469225625,0.5189407911238586,0.9275853062035674,5387778,26,,,374.0997824668884,44
0.001,4,3,2,8,0.0003,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2782802410566172,0.27003973439705686,0.519653475305474,0.9273862690648835,2164482,22,0.6269255162234344,0.28211221730270875,212.4257297515869,104
0.001,4,3,4,8,0.0003,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.27895746389114134,0.2701191473176304,0.5197298791849767,0.9273649149169091,2164482,23,0.8272583014146401,0.2842387474542351,269.28968262672424,150
0.001,2,4,2,8,0.0005,0.5,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.314098143555632,0.27304683550284947,0.5225388363584562,0.9265776590613288,3034818,21,,,230.6853003501892,14
0.01,2,4,4,8,0.0003,0.5,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2920613419124263,0.2744083530817326,0.5238400071412384,0.9262115467506454,4349634,23,,,339.8613393306732,89
0.01,3,2,2,8,0.0005,0.4,1024,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3035932226798987,0.2806918735723048,0.5298036179305543,0.9245219070120845,4859138,21,,,221.73647809028625,139
0.01,2,2,2,8,0.0003,0.4,1024,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28501601083745476,0.2807017217829376,0.5298129120575844,0.9245192588265547,1551490,45,3.0545527085156428,0.2864063717564603,346.0508654117584,39
0.01,2,4,4,8,0.0005,0.5,512,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2940592260836482,0.2817726171588612,0.5308225853888107,0.9242312948761362,5387778,24,,,305.61780762672424,23
