iteration,n_categories,n_features,rmse,mae,r2,total_params,training_time,epochs_trained,toggle_EMG_BW,toggle_EMG_HjComp,toggle_EMG_HjMob,toggle_EMG_IEMG,toggle_EMG_Kurt,toggle_EMG_LogDet,toggle_EMG_MAV,toggle_EMG_MDF,toggle_EMG_MNF,toggle_EMG_Myopulse,toggle_EMG_PeakFreq,toggle_EMG_Power,toggle_EMG_RMS,toggle_EMG_SSC,toggle_EMG_Skew,toggle_EMG_SpecEntropy,toggle_EMG_VAR,toggle_EMG_WAMP,toggle_EMG_WL,toggle_EMG_ZC,toggle_IMU_DomFreq,toggle_IMU_Jerk,toggle_IMU_Kurt,toggle_IMU_MNF,toggle_IMU_Max,toggle_IMU_Mean,toggle_IMU_P2P,toggle_IMU_SMA,toggle_IMU_SVM_Mean,toggle_IMU_Skew,toggle_IMU_SpecEnergy,toggle_IMU_Std,toggle_IMU_Var
74,14,144,0.4375538539526434,0.25904180954800277,0.9485181545678388,1354498,187.9919753074646,28,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1
51,16,156,0.4513704582329495,0.26115226796537705,0.9452155453932093,1356034,149.07422018051147,22,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1
52,15,144,0.4565352336236356,0.290255011474022,0.9439546378070541,1354498,147.40392446517944,22,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1
93,13,116,0.45824380758717537,0.25115072952015277,0.9435343555370731,1350914,146.61204624176025,22,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0
79,18,148,0.46046615160317234,0.2442843126463917,0.9429853448584636,1355010,209.90836548805237,30,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
73,15,128,0.4607147573005253,0.23753434694136386,0.9429237638090491,1352450,280.40104389190674,43,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1
42,17,156,0.4658951299141707,0.2670133585145128,0.9416329933774878,1356034,154.11412358283997,22,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
96,17,144,0.47366657931612066,0.24955235164546016,0.9396695498594713,1354498,183.34154438972473,28,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0
80,17,160,0.47538070280662403,0.2772876394821215,0.939232107298108,1356546,143.81222343444824,21,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1
85,20,184,0.47604427383687065,0.2954384668965314,0.9390623403875604,1359618,141.64884281158447,21,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1
62,17,152,0.47718002941973314,0.2676763360784833,0.9387712210420011,1355522,159.63539576530457,23,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1
10,18,160,0.47718860666854823,0.2613798208504088,0.9387690198635804,1356546,152.82675647735596,21,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0
25,21,180,0.47743531215427504,0.2962785749575382,0.9387056909266589,1359106,174.4137625694275,24,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1
124,18,156,0.4789379357388768,0.2511017661321816,0.9383192628264145,1356034,214.33640813827515,31,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0
59,19,168,0.4811970407493193,0.2515772292179356,0.9377360060556369,1357570,165.40658688545227,25,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0
23,18,180,0.4832686206827475,0.25984236657123144,0.9371987521952523,1359106,209.85253024101257,29,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1
137,17,152,0.48695997903554744,0.264557192042347,0.9362356965977015,1355522,140.7997760772705,21,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1
128,16,160,0.48749064081603766,0.2732897942454651,0.9360966473237539,1356546,150.46965837478638,21,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1
146,16,152,0.48760866661190705,0.26647091989400284,0.9360657004441678,1355522,154.2151439189911,22,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1
77,20,184,0.4878607223624244,0.3245365242019061,0.9359995852412815,1359618,185.57313060760498,25,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1
86,14,132,0.48821233291378024,0.26249651477179037,0.935907299351726,1352962,150.27332663536072,23,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
28,15,148,0.488992330830221,0.27426856190326154,0.9357023389077962,1355010,223.41224241256714,31,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1
40,18,164,0.490529748099635,0.2717582495848369,0.9352973929536813,1357058,153.99598383903503,23,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0
84,14,132,0.4905367808837146,0.30086728074057867,0.935295537642241,1352962,151.99189162254333,23,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0
15,20,184,0.49098776086096146,0.26770636669353537,0.935176509541776,1359618,203.60707139968872,29,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0
100,18,172,0.492274559038252,0.26493423232702235,0.9348362808672731,1358082,163.31156015396118,24,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
55,16,132,0.49265137474524556,0.2622945502428792,0.934736482450921,1352962,154.0680446624756,23,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
140,15,136,0.49321833038488816,0.286739488385042,0.9345861822086947,1353474,150.5944185256958,22,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1
109,17,144,0.4935639504478973,0.26109593761443467,0.9344944733334773,1354498,240.73118686676025,36,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0
6,18,168,0.4936563383046143,0.2622220072497663,0.9344699477107257,1357570,236.27861380577087,32,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1
44,19,176,0.49385814855870724,0.260366247656018,0.9344163584477505,1358594,158.8850040435791,21,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1
56,18,148,0.49725390036486994,0.31569366895570644,0.9335113559544256,1355010,140.4269359111786,21,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
66,15,136,0.49747881688037426,0.26439534507590134,0.9334511944305298,1353474,153.65522646903992,22,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1
32,19,176,0.49955539211580524,0.2966668090768667,0.9328944590655532,1358594,172.8943109512329,24,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0
