iteration,rmse,mae,r2,total_params,training_time,epochs_trained,weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type
96,0.4741312597445957,0.24468967269242525,0.9395511200106738,1625858,153.89810585975647,21,0.005,4,3,4,4,0.0003,0.25,512,128,64,ReduceLROnPlateau
61,0.4763359139006709,0.2659306555703808,0.9389876527682686,1021762,150.67856764793396,22,0.005,2,4,2,8,0.0003,0.25,512,96,64,ReduceLROnPlateau
71,0.47811375569979436,0.27238193799178584,0.9385313666837511,824130,195.62039232254028,28,0.005,4,3,2,8,0.0003,0.25,256,96,64,ReduceLROnPlateau
47,0.4790462205833896,0.27256653402042585,0.9382913684226275,417666,141.08754873275757,22,0.005,4,2,2,8,0.0003,0.25,256,64,64,ReduceLROnPlateau
57,0.4796354610470525,0.25439626739853227,0.9381394683186797,813954,168.4502673149109,24,0.005,2,4,8,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau
31,0.48013333821071585,0.27674097507845524,0.9380109751870778,773474,133.45822048187256,22,0.005,3,2,2,8,0.0003,0.25,512,96,64,ReduceLROnPlateau
127,0.4811413799886416,0.2672872600871105,0.937750409555797,773474,117.76216435432434,23,0.005,3,2,2,4,0.0003,0.25,512,96,64,ReduceLROnPlateau
78,0.4830064569740133,0.2887999425571616,0.9372668705939188,1362690,148.42840147018433,21,0.005,4,2,4,4,0.0003,0.25,256,128,64,ReduceLROnPlateau
28,0.4861329602126374,0.2614775267720938,0.9364520983608986,1417026,183.10440683364868,23,0.005,4,2,4,8,0.0003,0.25,1024,96,64,ReduceLROnPlateau
149,0.4863105610964323,0.27101873392819104,0.9364056574649803,1021762,170.06944513320923,25,0.005,4,4,8,8,0.0003,0.25,512,96,64,ReduceLROnPlateau
126,0.4879785004261551,0.2863405284003731,0.9359686798846248,773474,132.4378490447998,25,0.005,1,3,8,4,0.0003,0.25,512,96,64,ReduceLROnPlateau
74,0.48865032464714186,0.27763514575254894,0.9357922483242911,1624194,146.47161197662354,22,0.005,3,2,8,8,0.0003,0.25,1024,128,64,ReduceLROnPlateau
82,0.48923872421209696,0.27242226769277145,0.9356375259914089,417666,171.62065148353577,26,0.005,4,2,8,8,0.0003,0.25,256,64,64,ReduceLROnPlateau
134,0.4896534382694921,0.2706459800410074,0.9355283631861724,317762,109.30065894126892,22,0.005,3,3,4,8,0.0003,0.25,256,64,64,ReduceLROnPlateau
44,0.4901019549390051,0.30350485154988616,0.9354101986020332,773474,116.66610407829285,22,0.005,3,2,4,4,0.0003,0.25,512,96,64,ReduceLROnPlateau
