weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.001,3,3,2,8,0.001,0.3,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.27314444930349535,0.2296217061235708,0.47918859139546593,0.9382546838058915,31,5.978206914352189,0.23108203076636621,218.43487524986267,41
0.001,3,4,8,2,0.0001,0.2,512,160,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.29729330962970124,0.23256226367903202,0.482247098155118,0.937463967374444,33,2.9651632101805143,0.24755382399449918,306.00551176071167,6
1e-06,3,2,8,8,0.0005,0.4,256,160,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.29036303340210473,0.23837455063569782,0.4882361627693076,0.9359010424140437,31,2.5123410278689384,0.26118736739388465,202.6593255996704,5
0.0001,2,3,4,4,0.0005,0.1,128,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.28124676468693394,0.23892649395720614,0.48880107810560947,0.9357526247601421,34,11.191858722223667,0.2477081986450201,201.87206602096558,20
5e-05,1,4,4,4,0.0001,0.15,1024,256,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.27335909349394755,0.24189121931535945,0.4918243785289211,0.9349554096024019,34,13.592074572556808,0.25439789968375776,435.1873428821564,64
0.0001,3,4,8,8,0.0003,0.3,128,64,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.27254717468191425,0.2457591327145018,0.495740993578806,0.9339153270253961,36,1.7895468450409666,0.2643125990096868,214.87560534477234,16
0.0005,2,3,4,4,0.0001,0.2,128,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2912325067171968,0.24583599471248083,0.49581850985262826,0.9338946588209451,33,4.296062968681442,0.2617056825401545,254.54573583602905,72
0.0005,3,3,8,4,0.0003,0.15,128,160,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2768977979267574,0.24708935173119723,0.49708083017875193,0.9335576309034577,37,11.258534687738223,0.24902326402723207,329.1791958808899,73
0.001,3,3,4,2,0.0003,0.3,1024,256,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.27073846870566604,0.24838393218281118,0.4983813120320737,0.9332095179977875,34,,0.30540504219920134,379.2758915424347,35
5e-05,2,4,8,4,0.0005,0.1,512,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.26373996804283467,0.2492072479433262,0.49920661848910436,0.9329881282484525,37,,0.2492682439017278,420.94779562950134,82
0.001,2,1,4,8,0.001,0.1,1024,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2880438653850859,0.25002308168632886,0.5000230811535892,0.9327687504149108,33,,0.25096480428881873,271.21423625946045,77
1e-05,2,1,8,2,0.0003,0.3,256,96,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.28626070215677685,0.2519671734319895,0.5019633188112349,0.9322459838107746,47,2.7004779902640093,0.26982599882058245,164.15897417068481,91
1e-06,2,4,2,4,0.001,0.15,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.29337578837155165,0.25446307681576413,0.5044433336022631,0.9315748349624242,34,7.192087646084752,0.25453984879029934,226.7739872932434,97
1e-06,1,4,4,4,0.0005,0.3,128,64,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.32324613015421866,0.25682051660176825,0.5067746211105764,0.9309409189992832,32,2.0234358819859124,0.2571103647049441,320.4635229110718,33
0.0005,1,2,8,2,0.0003,0.15,128,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.33307720172825556,0.2582187159786468,0.508152256689515,0.9305649429468219,33,4.094601744739965,0.2632096704690866,126.08156633377075,75
5e-05,2,1,2,4,0.001,0.4,512,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2908754914471375,0.2607785175671597,0.5106647800339864,0.9298766118602484,36,2.66220974189133,0.30012762891764444,174.44619131088257,36
1e-05,3,2,2,8,0.0001,0.1,256,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3115671409276403,0.2621909589223516,0.5120458562690959,0.9294968061373737,35,3.11785563518198,0.27275032350110184,215.768079996109,31
1e-06,2,4,2,8,0.001,0.1,512,64,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3258912098911232,0.263011296249115,0.5128462696063169,0.9292762172893858,33,,0.26302941151337794,206.20533680915833,55
1e-05,1,4,2,4,0.0003,0.4,1024,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3220425532207128,0.2630372797207175,0.5128716015931448,0.9292692303294114,38,3.486137274587039,0.2630342259008189,469.320436000824,50
0.001,1,4,4,2,0.0003,0.3,128,128,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2870481915142155,0.2634956543717391,0.5133182778469311,0.9291459733070659,34,5.084353152222073,0.2763005041706656,359.4988977909088,85
1e-06,2,2,8,4,0.0005,0.2,128,64,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.29632844925058666,0.2637645011377713,0.513580082497142,0.9290736803655288,32,3.7331728865633336,0.28814725758254933,240.9935154914856,74
0.0005,3,2,8,4,0.002,0.2,512,64,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3615814832321075,0.2653386155325641,0.5151102945317285,0.9286504007345524,33,,0.26535563400743245,153.66008710861206,100
5e-05,2,1,2,4,0.0003,0.15,128,96,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3173216919804862,0.265400924198982,0.5151707718795603,0.9286336459234565,34,4.47005237774263,0.2743182092144895,264.1276741027832,95
0.0005,2,1,4,2,0.0005,0.15,256,64,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2990741957862486,0.26574926520178316,0.5155087440594807,0.9285399769680062,32,2.257132580346141,0.28598088043709047,110.59967017173767,17
1e-06,1,4,4,4,0.0001,0.4,128,64,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2825556008368172,0.2679241864704761,0.5176139357382837,0.9279551402655017,42,1.410382257409037,0.3010024599993667,231.89847803115845,57
0.001,1,3,4,8,0.001,0.1,128,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3057482384487998,0.26960604756579803,0.5192360229854994,0.9275028875282569,34,,0.27070079558967025,199.44590878486633,88
1e-05,1,4,2,2,0.0003,0.1,256,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3248008892168609,0.2709911139151086,0.5205680684743433,0.9271304429491631,33,5.767733583169696,0.27228771586303685,222.98510313034058,84
1e-06,1,2,4,4,0.0005,0.2,128,96,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.32301637319005344,0.2710146554991227,0.5205906794201397,0.9271241126131805,32,2.930302794228027,0.28046618584216493,120.16200375556946,18
0.0001,3,1,4,8,0.0001,0.1,256,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.32449146212560287,0.27165989477951785,0.5212100294310518,0.9269506076599188,33,1.4864918204765878,0.29277324407778554,196.40533709526062,30
0.0005,3,4,8,4,0.0005,0.4,128,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.300958025147838,0.2730954198920754,0.5225853230737306,0.9265645947107259,31,,0.29770023294033543,368.5162470340729,23
0.001,1,4,4,4,0.0001,0.3,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3019021089619552,0.2731798609584547,0.5226661084846183,0.9265418884934811,32,3.448448400518686,0.2866335873418702,247.10346388816833,89
1e-06,3,4,2,8,0.001,0.15,256,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3138827390838008,0.27320934627653315,0.5226943143717302,0.9265339598863883,33,,0.2734193922139967,238.41790866851807,29
1e-05,1,2,4,4,0.0005,0.3,256,96,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2991019287605495,0.2732649251972047,0.5227474774661325,0.9265190147050789,33,2.3300294942908097,0.30736847554528435,121.70719003677368,42
1e-06,3,4,2,8,0.0003,0.4,128,64,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.2789805139422204,0.27866856803608225,0.5278906781106124,0.9250659742181009,36,3.192198088271937,0.3018309140341763,365.27570939064026,21
0.0005,2,1,4,2,0.0003,0.1,128,192,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3338679722588444,0.27884719421848914,0.5280598396190427,0.9250179416069881,33,6.285923527081301,0.28611993003141944,147.76796078681946,81
0.0001,2,3,8,8,0.0005,0.4,1024,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3013912931118169,0.27944193682507806,0.5286226790680457,0.9248580152179813,35,,0.2821996965274405,366.1192207336426,43
5e-05,3,4,4,8,0.001,0.1,256,160,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3741141406064273,0.28153239242820444,0.5305962612271259,0.9242958913474474,36,,0.2815225058254092,264.0791790485382,86
5e-05,2,4,4,2,0.0003,0.1,128,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.28203025396826653,0.2829006384030418,0.5318840460128897,0.9239279697699369,34,8.496825882568345,0.3059439976436253,393.51325964927673,40
1e-06,1,4,2,4,0.0003,0.15,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.35181388614534637,0.28320234086694324,0.532167587200633,0.9238468419256026,36,6.307950696472376,0.28334608738550277,240.49943947792053,99
0.0001,2,2,2,8,0.0001,0.3,256,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3012858647686015,0.28372419156120277,0.5326576682647146,0.923706516184334,34,1.865741670608774,0.3453065539168757,165.7087287902832,44
5e-05,3,4,8,8,0.0003,0.4,512,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3003078927506608,0.28617811624260464,0.5349561816098629,0.9230466554162577,38,2.9503139257509896,0.2908817687297529,305.9197075366974,48
0.0001,3,1,4,4,0.0001,0.5,512,192,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.28449959482734394,0.2883514974933981,0.5369837031916315,0.9224622328248309,41,3.1812316099326465,0.3534369590860601,323.3550457954407,38
0.0001,3,2,2,8,0.001,0.15,1024,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3164940524270222,0.28965918635119575,0.5381999501590424,0.9221105950664876,32,,0.2923840372994352,271.5571572780609,93
5e-05,2,4,4,4,0.0001,0.1,1024,128,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3219099452439402,0.28994101132608974,0.5384617083192543,0.9220348122823598,34,11.041639994086324,0.2910995235008489,354.6775441169739,70
1e-06,1,2,2,8,0.0001,0.15,512,192,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3072732008615116,0.29072292506905206,0.5391872819986132,0.9218245555426519,39,7.852608167604801,0.3008829976695423,323.2894012928009,94
5e-05,2,3,8,4,0.0003,0.3,512,256,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3374784732122933,0.2926559780384979,0.5409768738481322,0.9213047572673349,38,,0.2927233932971597,380.9711513519287,65
1e-06,1,2,8,8,0.001,0.1,128,96,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.34983103327901394,0.293094939570288,0.5413824337474278,0.9211867204360832,33,7.34540598550692,0.2948148067383863,127.0405843257904,71
1e-05,2,1,8,8,0.0005,0.4,512,160,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.31509592877980114,0.2971659658349374,0.54512931111337,0.9200920207746756,33,5.732675963398586,0.3201239115439093,205.03528833389282,11
