weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.0001,1,3,4,4,0.0003,0.3,256,160,64,ReduceLROnPlateau,0.15,0.2880992043750853,0.26818024249578143,0.5178612193394881,0.9275217697587386,13,1.643667906748793,0.34716781339934166,203.9141776561737,8
1e-06,1,3,4,4,0.001,0.2,192,192,128,OneCycleLR,0.15,0.28025996740122755,0.27041309140201725,0.5200125877341982,0.9269183213629357,16,1.5093078289487247,0.28914460940410325,251.30548667907715,3
5e-05,1,3,2,4,0.001,0.3,512,192,128,ReduceLROnPlateau,0.1,0.2927085849047808,0.28171477322391614,0.530768097405935,0.9238639356648023,17,1.6877210283683852,0.29277542893784436,359.13801288604736,6
0.0001,1,3,2,8,0.0005,0.15,256,160,32,ReduceLROnPlateau,0.15,0.29833261283970214,0.28548474766567167,0.5343077274994923,0.9228450646508516,19,2.346994478440198,0.29833261455179494,297.2593140602112,1
5e-05,1,3,4,4,0.0003,0.3,256,128,64,ReduceLROnPlateau,0.05,0.2949493502113897,0.2927042198515106,0.5410214596959262,0.9208939344615579,22,1.5847737014985994,0.3024964132284308,272.0103039741516,7
0.0001,1,3,4,4,0.0005,0.4,384,96,128,OneCycleLR,0.15,0.3010346111300425,0.29940128773261776,0.5471757375218841,0.9190839889439052,23,1.5903721718321457,0.30268394000597154,278.87653493881226,9
1e-05,1,3,2,8,0.0005,0.3,512,96,32,ReduceLROnPlateau,0.05,0.2999681364282019,0.3182382269272157,0.5641260736105146,0.9139931291427468,19,2.147379437285969,0.3175530096232627,243.63144207000732,5
1e-06,1,3,4,8,0.001,0.2,192,96,32,OneCycleLR,0.15,0.30004877500431926,0.32603203509408557,0.5709921497657262,0.9118867792583644,24,2.6772028349150023,0.3001905122174822,229.02845311164856,2
0.0001,1,3,4,4,0.0003,0.2,256,160,32,ReduceLROnPlateau,0.05,0.30215035111768557,0.3260351310208106,0.5709948607656733,0.9118859425550789,25,2.3781633120097316,0.309973847280577,391.6870539188385,10
5e-05,1,3,4,4,0.0003,0.4,512,128,64,ReduceLROnPlateau,0.1,0.31194077393042813,0.330080053309288,0.5745259378907867,0.9107927643022593,14,1.7518097146714764,0.3730286717678983,204.32935118675232,11
1e-05,1,3,4,8,0.0005,0.4,384,128,128,OneCycleLR,0.05,0.335433022564632,0.3627408414683072,0.6022797036828547,0.9019658794354978,17,1.6305289036715804,0.3648886051540713,243.46408915519714,12
5e-05,1,3,2,4,0.0003,0.4,512,192,64,OneCycleLR,0.1,0.3483279934902531,0.39140514125981646,0.6256238017049994,0.8942190830993499,12,1.7677788113183284,0.3706958094058748,249.09622311592102,4
